Content,score
awr z,3
excellent,5
nice updation day,5
super,5
nice good,5
good experience please improve sl target feature chart,5
w xx sx xx xx xx w s2xsdesdd,4
unable start,1
helpful app,5
vishal chauhan,5
bahut hi badhiya app h,5
nice app,5
developed quite bit probably best analysis board ui easy navigation could teach brother start navigating,5
brokerage charge littile,4
easy access information,5
perfectly work hang issue slow work today morning lose money app work worsted,1
hni big category 10lak 2cr option ipo available guy going add option grow app,4
best app treading,5
good ui,5
good interface experience,5
ooo 9io iiiiiiioookkk okk n ik imi,4
good,5
tc xxx h xx xxxxr3 x 3d fx3434 x3c fdr,3
customer support na call request aata h na kitani bar call kiye lagata nahi h,1
best trading aap,4
easy use,4
stupid service mistake also paid amount 07 day refund money back,1
good app,4
best app,5
terget price order delay trigger,3
issue arrived todaythe reason giving 1 star position often cut late lead loss improvisation timely adjustment would make even better still error happening,1
bad,1
charge much calculation intraday charge others please dp chares compared apps like zerodha upstox angel one high one trade 10 trade charging per day grow charging per trade mean one ten trade per order trade charge unfair grow app,2
grow deta leat poor nonsense bakwaas,1
28 aug trade future trade automatic sell 1 pm worst demet account ever,1
removed advanced feature like indicator trend tool,3
app treading poor service,1
like asome aa bohot achhe hai,5
mutual fund data updating last 5 6 day contacted support team solved problem 1hour nice app nice support,5
app update given due issue updating please suggest option,2
nothing say,5
good experience,5
vlc n,4
withdrawal pending 4 din se hai customer service bi bekar hai download mat karna grow apps,1
good ui experience,5
super app,5
faltu h yaha par toh kuch bhi sahi se nahi hota h,1
great,5
sl order mtf position rollout,3
tt bh hii mm wa v,2
user friendly,5
tried cancel fno unable,1
good beginner,4
thank making money,5
easy accessibility,5
grow charging 20rs brokerage buying selling 40rs brokerage,1
always hidden charge cut automatically deducted demot account total loss 400rs dont use app,1
grow worst trading app want closed grow accont freiends sip money 10k reedimed 17 aug 2025 money credited friend accont till nowit haras friend documentation request pls credite also feature indicator work properly cheat pepole,1
nice app,5
nice,5
grow app froudly company know download customer know offer know customer support,1
easy operate customer care also helpful immediate,5
simple n good,5
best app india stock market happy,5
good leaning good experience financial chat show always wrong data could cause wrong decision money loss,1
news section stock improved overall app service good,4
good experiencing lot new feature,5
choice,5
app showing since morning please check network connection able view balance,3
trusted plot form,5
like trading app,5
worst experience technical glitch major loss high brokeage shifted new broker flatrade u need wrry grow time nt grow untill u charging high brokeage,1
nice good,5
many time take process yesterday completed documentstoday asking stating open new account u fix bug sign google account next second process cant use ur add web application properly,2
good app,5
nadeem ahmed,5
well,5
complained regarding delink mail id name however completed tried reach customer service proper assistant provided life time unable use grow groww,1
naice app,5
heloo hey,5
ro rha hu toye se baat kar rha raha kr ohm full name gender aadhar dob phone email pan whatsaprrp parent yop graduation college name branchw graduation 12 yop 10 yop certificate gmail id password applied earlier super set id password ready relocate full address send detailsy along resume dhegara u,5
issue error importing mf detail mf data getting updated say update within 10 15 min,1
good interface easy user friendly,5
please fix app restarting,4
one suggestion please add weekly sip option history location point invested fund option available coin zerodha user application,2
love application second money generate sorse,5
grt trading app easy trade earn,5
excellent app please download,5
nice app beginner supportive,5
brokrage tax need rectify rest best,5
poor customer service 247 care reply waiting time 5 minute hang 10 wait,1
easy use really soo happy use app everyone please switch groww,5
star nahin hai superstar hai,5
hidden charge unknown retailer,1
bokarej bov se charge vadare se pan app saruse roj na 200 300 bokarej jase,4
like,5
good excellent,4
super,5
zz x mexican mi syoklnhj,3
kab profit hoga yaar,5
useful reliable app,5
good app provide every daily news market,5
excellent easy work,5
sometimes open,4
nice app trading security,5
account se paisa kat lete hai chor hai,1
good application,5
user friendly app,5
much easy interface easy use,4
best trading experience thank simple wonderfull trading platform,5
good platform,5
app smooth,4
bad service scam app,1
extraordinary experience give really smoothness experience trading,5
best trading app,5
improve,3
ipo showing properly open ipo 6 showing 2,2
still good experience,5
nice application,5
good brokerage,5
hi recommend using app go option due technical glitch lost money placing trade system let place order beyond available balance incurred loss per policy issue marked resolved satisfied resolution money still lost review remains unchanged proper backup ex hdfc fall 50 grow show 089 many stock suddenly increase 40rs 5k dont use,1
5 654 5,4
one worst broker india charging dp charge r 20 per order stock day sell share 10 time day charge dp 10 time brokerage also min r 5 short loot raha hai grow without notice,1
note good app show price,1
ghati ya aap hai,1
please update 13 month chart fasility,3
good app investor,5
bahut badhiya,5
groww fraud company britannia purchased call 6050 set target 250 paisa made loss 081 tell done way invest groww app spoke customer care making understand nsc bsc meaning place order go tell nsc huge fraud incurring much loss never paid attention paid attention kind fraud,1
simple use,5
good trading minimal charge promote groww,5
awesome,5
new update good previous version delicious back previous version,3
good one compared others market tried multiple apps finally fixed groww,5
bad,1
chepest bad application hight charge,1
disturbing app data leak customer,1
thank,5
9th l olom,2
received contract note yesterday amount show demat account whats problem u explain,1
superb,5
pathetic experience groww option trading modification stoploss target updated single attempt 4 5 time get modified pathetic groww take care seriously option trading fraction second crucial hope expert team seriously focus issue resolve issue,4
simple interface biginner tradera better platform could recommend multichecked withdrawal attempt made satisfiedpersonally lot platform like zerodha personally refer grow groww app thank,5
lnt ee,5
without permission grow fraud company app take 1 rupee bank account worng serious,1
high brokerage delivery every order 5 rupeee,2
nice app,5
absolutely pathetic app customer support linked mutual fund mine bank account closed removed application run behind fund house bank account changed customer support kept arguing mutual fund folio still connected bank account closed however never give reason ever happened,1
nice ok,5
need ai trading,5
always invest better future,4
good stock market,4
good treding app,5
verry good investment plan future high amount received,5
thank much team groww introducing commodity platform,4
brokerage charge low price best indian app withdrawal 5 10 time,5
great app beginner,4
good apps used,5
super growe,5
best aap,5
yv nlm ok iinii p f,3
amazing application investment interface simplified thing understand well,5
groww one best apps,5
great,5
stock market,5
good groww ap thanks lot good guideline good layout,5
option trailing sl,3
trust,4
best app good,5
dont ad pan card namber,1
nice appp,5
smooth experience,5
bad experience bank detail mismatch found withdraw amount submitted detail correctly due mistake cant withdraw amount bank name account number mismatching,1
user friendly interface,5
best investment platform app,5
cunfuse,3
good application platform,5
fund safecheck fund order everydayloose lot money n help groww blame u wrong info given big cheat,1
b dikh raha hai e,5
smooth use,2
bug user interface need enhanced,3
created excellent trading platform,5
usefull application,5
need update put stoploss sell buying time,4
nice sarvice,5
better upstox,5
vary good app,5
number one app,5
high brockerge charge,1
excellent app buy sell stock,5
nice esely fund add withdraw,5
update recent change option chain layout made platform less userfriendly earlier simple view call put around strike price directly chart forced search option individually cumbersome meaningless developer understand trader need fast access option chain data analysis buysell button app fantastic cc 5 star app negative star customer care sudden change,3
nice,5
permpal,5
thing excellentoutstation without exit load withdraw money,5
easy understand simple fast loading suggest please add crpto platform like,5
s1nlhy55a sa sa 1 l,4
awesome app trading,5
best app invest,5
future brite hoga ummid hai thanks groww,5
invest first time getting lot return 23 time showing loss cant get profit fake hacker cant give profit,1
groww like frozen bank account deposit money never withdraw,1
good buying selling please make sure,5
good app,5
even though groww app transferred money groww account bank try add money show 6 added 1000 balance showing 994 happening want make formal professional feedback frustrated highlight issue strongly review,1
good app searching,5
great experience,5
fraud app late execution trade,1
best investing app india,5
latest update fo panel good used show proper detail position detail option doesnt show detail properly ticket number 21504751 use ticket well proper support,1
thank u much,5
mujhe kuch bhi fayada nhi mila,1
order redeem on23rd still progress,1
costmere care service bed,3
app suddenly showing investment amount holding update look unreliable primary investment application,3
great platform,5
aacha laga bhut kuchh hai e,5
best trading,5
veri good groww,5
groww apps wale se dukhi hu mene 5 ipo kharida jisme mere ko ak bhi allotment nhi hu jab ipo allotment hi nhi karna kharidne ke liya noti fisn kiyo dete ho mere ko ipo kiyo nhi allotment hua ka rijan nhi diya share ka nam nsdlshreeji sippingpteal retalvikarm solarshari lotoshighway infra jese share kharide ne ke bad 7din ke bad sm ata nota allotment vv bed,1
good service,5
nice experience,5
groww app share market bahuth achaa hi,5
groww,5
team grow fed policy suffer alot never use app ever withdraw entire ammount hated app go hell,1
tonksy,5
great app,5
high charge brokerage like dhan app suggestion everyone use dhan app,1
good application,5
great consumer friendly app,5
7 48 0 330 07,1
bad app money stolen ggt order lage huye pe bhi apne aap sell kar deta h aur complain bhi nahi leta h worth app plz dont believe app use another app,1
kept profit themselvescredited invested amount accounttotal frauddo use apptotal fraudulent,1
supar,5
scalper tab main balance show correct balance ie example ten lakh rupee account balance show 10 lakh buy premium value rupee 2 lakh balance show 8 lakh exit position balance still showing 8 lakh go back refresh page correct balance 10 lakh show main problem go back refresh page setting chart reset adjust,5
clearly display charge fee related loan mutual fund app taking loan,5
easy aap,5
unable see per minute trading view pooe experience,2
invester friendly,5
pawar apps,5
kiiazzzzzzzz zz zz,2
bill recharge available,4
awesome service,5
err eeee eew ree ee s,4
soooooooooo pol lo oloo op ka note ooo,5
good app supportive app,4
poor panoti garib bhikari app account everytime dont install app,1
good app investment,4
want money return,3
intradey tool really bad wont able exit order time customer support team useless day time groww customer support,3
good lag open app,4
please add watchlist commodity,5
bug overall good experience may need revise mtf intrest broker take 10pa,3
best app,5
awesome app treding,5
good experience farfew improvement suggested time time,4
f sent f h arch key feature f f theft ith different rhyt u h arch support,3
immediate solution issue easy operate,5
deducted much money trading account beware retailer broker robber gang,1
groww really helpful app,5
many frauders involved app trust dont invest market getting worse day day,1
dont even consider app app designed lose money trader maximum time app wont execute correct orderfor intraday trader place trade nse app execute try add sl target order switch nse bse wont notice lot order related issue,1
excellent app,5
invested 10k debt fund received cheque wrong ac number,1
commodity market kab ayega abhi tak aya nahi hai delivery time price hike kiya hai 2 r 5 r hogya,1
good app,5
totally froud aap hi grow team facing login isuue device reset data pls solve issue urgently choosing mail id error facing something went wrong iam taking new version app play store isuue solve pls check solve issue error,2
faltu paie ki barbadi,1
unusual app download,1
v good,5
broker lot charge go zerodha,1
good app investmentjust one feature required thats finance aggregator please provide user track finance groww app,5
bahut achcha hai uska profit bahut achcha lagta hai,5
yah bhi aap koi madad karna fake trading hota hai ismein,1
sometimes able calculate math option correctly app kid compared others technical issue,3
superb app ease saving,5
good morning,5
love app good interface,5
k u u u 7 6 l mkm mey pbm b gihv,3
one best aap investment,5
good apk,4
dear groww team feel lagg issue updating groww app,3
glitch,1
best app trading,5
best treding aap,5
bad thing money withdrawal prosses bad withdrawal money yesterday spend 3 day money received bank account groww faill payment show money prossaing refund groww account bad condition groww app told never use groww app life also told friend family member use groww app thanks,1
brokerage others commission suck profit groww 4 demat account cant use groww using platform groww reduce unusual charge use,1
update detail,4
good,5
love,5
im using groww app last 3 year could see bug im trying switch current mutual fund sip mutual fund sip app getting closed automatically someone fix asap,3
super nice,5
good investment trading purpose,4
nice one,5
mutual fund please add swp stp option important managing mutual fund,4
nice se,5
great app hidden fee,5
amazing,4
